
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
DC:F7:19:3D:57:A0, 2019-11-25 16:48:33, 2019-11-25 17:03:33, 11,  -1, OPN, ,   ,  -1,        0,        6,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:89:CF, 2019-11-25 16:48:50, 2019-11-25 16:50:47, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:F7:19:3D:57:AF, 2019-11-25 16:47:12, 2019-11-25 16:47:12, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
84:3D:C6:37:3A:30, 2019-11-25 16:50:40, 2019-11-25 16:50:40, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
FC:5B:39:B0:17:00, 2019-11-25 16:52:42, 2019-11-25 16:52:42, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:F7:19:4D:89:C0, 2019-11-25 16:48:30, 2019-11-25 16:54:30, 11,  -1, OPN, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
88:1D:FC:88:62:20, 2019-11-25 16:55:04, 2019-11-25 16:55:05, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
74:88:BB:20:C0:E0, 2019-11-25 16:46:57, 2019-11-25 17:00:53, 11,  -1, WPA, ,   ,  -1,        0,    54983,   0.  0.  0.  0,   0, , 
58:EF:68:B7:2B:91, 2019-11-25 16:46:57, 2019-11-25 17:06:21, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -39,     8143,       19,   0.  0.  0.  0,   7, SIO_WPA, 
58:EF:68:B7:23:C1, 2019-11-25 16:46:57, 2019-11-25 17:06:22, 11,  54, WEP, WEP,   , -40,     4867,    90051,   0.  0.  0.  0,   7, SIO_WEP, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D0:57:7B:D5:2E:48, 2019-11-25 17:02:00, 2019-11-25 17:05:20, -47,        8, 58:EF:68:B7:23:C1,
C4:E9:84:0F:F6:39, 2019-11-25 16:46:57, 2019-11-25 17:05:19, -50,   140447, 58:EF:68:B7:23:C1,SIO_WEP
98:3B:8F:BE:D4:1C, 2019-11-25 16:48:54, 2019-11-25 17:05:19, -80,       10, (not associated) ,eduroam
9C:B6:D0:92:E2:53, 2019-11-25 16:47:07, 2019-11-25 17:05:07, -45,       45, (not associated) ,internet
5A:00:E3:3B:0C:5C, 2019-11-25 17:04:33, 2019-11-25 17:04:40, -62,       37, (not associated) ,DIRECT-
D0:57:7B:FE:D2:43, 2019-11-25 17:02:10, 2019-11-25 17:04:44, -63,       55, (not associated) ,DIRECT-
FE:D6:4D:7B:27:7A, 2019-11-25 17:03:27, 2019-11-25 17:03:27, -44,        2, (not associated) ,
38:D5:47:52:7D:46, 2019-11-25 17:03:11, 2019-11-25 17:03:18, -83,        4, (not associated) ,
64:A2:F9:32:1F:03, 2019-11-25 16:47:13, 2019-11-25 17:02:51, -46,       21, (not associated) ,eduroam
DA:A1:19:20:75:95, 2019-11-25 17:01:39, 2019-11-25 17:01:39, -52,        1, (not associated) ,eduroam
DA:A1:19:A0:83:23, 2019-11-25 17:01:40, 2019-11-25 17:01:40, -53,        1, (not associated) ,eduroam
DA:A1:19:2E:4E:6E, 2019-11-25 17:01:41, 2019-11-25 17:01:41, -60,        1, (not associated) ,
58:A0:23:49:95:3A, 2019-11-25 16:57:54, 2019-11-25 17:01:16, -61,        3, (not associated) ,eduroam
4C:ED:DE:4C:2E:F9, 2019-11-25 16:46:57, 2019-11-25 17:00:53, -75,    52736, 74:88:BB:20:C0:E0,
DA:A1:19:66:14:C8, 2019-11-25 17:00:27, 2019-11-25 17:00:27, -44,        2, (not associated) ,eduroam
C8:21:58:93:73:0D, 2019-11-25 16:54:56, 2019-11-25 17:00:19, -27,     3011, 58:EF:68:B7:23:C1,
DA:A1:19:70:1E:D2, 2019-11-25 17:00:15, 2019-11-25 17:00:15, -42,        1, (not associated) ,eduroam
DA:A1:19:16:36:56, 2019-11-25 17:00:19, 2019-11-25 17:00:19, -54,        1, (not associated) ,
DA:A1:19:B6:A1:5E, 2019-11-25 17:00:15, 2019-11-25 17:00:15, -73,        1, (not associated) ,eduroam
DA:A1:19:97:DF:92, 2019-11-25 16:59:39, 2019-11-25 16:59:39, -70,        1, (not associated) ,
1C:4D:70:17:8C:4D, 2019-11-25 16:48:55, 2019-11-25 16:59:27, -68,        3, (not associated) ,eduroam
94:E9:79:2D:3B:E3, 2019-11-25 16:47:09, 2019-11-25 16:58:55, -76,        9, 74:88:BB:20:C0:E0,
86:56:26:B2:22:81, 2019-11-25 16:58:31, 2019-11-25 16:58:31, -36,        1, (not associated) ,
DA:A1:19:E4:B4:40, 2019-11-25 16:58:18, 2019-11-25 16:58:18, -62,        1, (not associated) ,eduroam
70:C9:4E:E0:58:F7, 2019-11-25 16:47:13, 2019-11-25 16:57:55, -75,        4, (not associated) ,eduroam
60:1D:91:51:69:03, 2019-11-25 16:57:41, 2019-11-25 16:57:41, -66,        2, (not associated) ,eduroam
58:00:E3:17:AF:20, 2019-11-25 16:47:06, 2019-11-25 16:57:29, -79,       40, 74:88:BB:20:C0:E0,
08:D4:0C:C4:B1:07, 2019-11-25 16:54:40, 2019-11-25 16:57:19,   0,     3154, 58:EF:68:B7:23:C1,
DA:A1:19:BE:83:7F, 2019-11-25 16:57:20, 2019-11-25 16:57:20, -76,        1, (not associated) ,
28:16:AD:A9:FF:92, 2019-11-25 16:49:44, 2019-11-25 16:57:04, -78,       10, (not associated) ,eduroam,MEO-AF4360,COROARTEAVEIRO
DA:A1:19:DD:A5:DB, 2019-11-25 16:56:29, 2019-11-25 16:56:29, -64,        1, (not associated) ,
DA:A1:19:85:5B:31, 2019-11-25 16:55:43, 2019-11-25 16:55:43, -56,        1, (not associated) ,
72:ED:E2:73:07:19, 2019-11-25 16:55:27, 2019-11-25 16:55:27, -52,        2, (not associated) ,
DA:A1:19:89:3B:24, 2019-11-25 16:55:30, 2019-11-25 16:55:30, -56,        1, (not associated) ,
DA:A1:19:30:98:6E, 2019-11-25 16:55:17, 2019-11-25 16:55:17, -58,        1, (not associated) ,
D4:A3:3D:CC:16:C8, 2019-11-25 16:48:05, 2019-11-25 16:55:03, -41,       14, (not associated) ,eduroam
DA:A1:19:4C:FE:1E, 2019-11-25 16:55:04, 2019-11-25 16:55:04, -59,        2, (not associated) ,
94:E9:79:27:FA:C7, 2019-11-25 16:55:01, 2019-11-25 16:55:04, -74,        8, 74:88:BB:20:C0:E0,
60:AB:67:8A:5C:81, 2019-11-25 16:55:04, 2019-11-25 16:55:05, -84,       25, 88:1D:FC:88:62:20,
F2:43:6A:3E:D7:F7, 2019-11-25 16:54:41, 2019-11-25 16:54:52, -40,       12, (not associated) ,MEO-8E4F45
DA:A1:19:3F:70:0F, 2019-11-25 16:54:51, 2019-11-25 16:54:51, -58,        2, (not associated) ,
DA:A1:19:F6:6F:FB, 2019-11-25 16:54:40, 2019-11-25 16:54:40, -64,        1, (not associated) ,eduroam
24:FD:52:F6:4A:33, 2019-11-25 16:48:42, 2019-11-25 16:54:39, -64,     2290, 74:88:BB:20:C0:E0,
00:28:F8:A1:1C:10, 2019-11-25 16:47:02, 2019-11-25 16:54:43, -66,       12, (not associated) ,eduroam
4A:D2:50:23:26:B8, 2019-11-25 16:54:39, 2019-11-25 16:54:39, -67,        2, (not associated) ,
DA:A1:19:7B:64:84, 2019-11-25 16:54:27, 2019-11-25 16:54:27, -56,        1, (not associated) ,
00:28:F8:67:F6:56, 2019-11-25 16:50:04, 2019-11-25 16:54:27, -59,        9, (not associated) ,eduroam
94:E9:79:98:8D:11, 2019-11-25 16:47:11, 2019-11-25 16:54:28, -66,       61, (not associated) ,eduroam
6C:71:D9:82:6A:B6, 2019-11-25 16:46:58, 2019-11-25 16:54:27, -66,       27, DC:F7:19:4D:89:C0,eduroam
B4:AE:2B:CE:CC:9E, 2019-11-25 16:51:28, 2019-11-25 16:54:31, -67,        8, (not associated) ,eduroam
E4:A7:C5:A5:C1:13, 2019-11-25 16:47:00, 2019-11-25 16:54:27, -68,       23, (not associated) ,eduroam
8E:20:35:FE:DE:77, 2019-11-25 16:54:32, 2019-11-25 16:54:32, -71,        2, (not associated) ,
48:45:20:D4:2A:B5, 2019-11-25 16:47:26, 2019-11-25 16:54:18, -51,       24, (not associated) ,eduroam
EA:D8:E4:2E:AB:BA, 2019-11-25 16:54:17, 2019-11-25 16:54:17, -56,        3, (not associated) ,
DA:A1:19:08:C3:07, 2019-11-25 16:48:02, 2019-11-25 16:54:19, -60,       30, (not associated) ,
D0:57:7B:AA:A7:5D, 2019-11-25 16:47:40, 2019-11-25 16:54:17, -62,       18, (not associated) ,eduroam
A4:50:46:54:2E:55, 2019-11-25 16:47:08, 2019-11-25 16:54:20, -65,       48, (not associated) ,
C8:1E:E7:60:B7:1C, 2019-11-25 16:49:27, 2019-11-25 16:54:20, -67,        7, (not associated) ,eduroam
7C:B0:C2:F1:6C:9C, 2019-11-25 16:47:16, 2019-11-25 16:54:15, -68,        9, (not associated) ,eduroam
82:2A:77:42:76:0B, 2019-11-25 16:54:18, 2019-11-25 16:54:18, -71,        4, (not associated) ,
70:1C:E7:9C:E8:93, 2019-11-25 16:48:25, 2019-11-25 16:54:19, -73,        9, (not associated) ,
10:30:25:98:B3:BC, 2019-11-25 16:47:12, 2019-11-25 16:54:20, -73,       12, DC:F7:19:3D:57:AF,eduroam
DA:A1:19:5E:52:06, 2019-11-25 16:54:16, 2019-11-25 16:54:16, -74,        1, (not associated) ,eduroam
D0:7E:35:75:EE:FF, 2019-11-25 16:48:37, 2019-11-25 16:54:17, -74,        4, (not associated) ,eduroam
34:F6:4B:BF:FC:43, 2019-11-25 16:51:00, 2019-11-25 16:54:07, -63,        7, (not associated) ,eduroam
90:61:AE:17:6E:7F, 2019-11-25 16:50:42, 2019-11-25 16:54:03, -65,       16, (not associated) ,eduroam
A4:50:46:6C:A1:A1, 2019-11-25 16:47:45, 2019-11-25 16:54:05, -66,       38, (not associated) ,eduroam,MEO-50E520
B2:E7:0D:20:EB:C7, 2019-11-25 16:54:08, 2019-11-25 16:54:08, -68,        2, (not associated) ,
4A:5A:A5:95:A6:D7, 2019-11-25 16:54:04, 2019-11-25 16:54:04, -71,        2, (not associated) ,
66:D4:8A:E7:67:29, 2019-11-25 16:54:03, 2019-11-25 16:54:04, -73,        4, (not associated) ,
98:2C:BC:0B:44:C4, 2019-11-25 16:47:16, 2019-11-25 16:54:04, -73,       48, 58:EF:68:B7:23:C1,SIO_WEP,SIO_WPA,eduroam
E2:38:67:B1:3F:03, 2019-11-25 16:54:04, 2019-11-25 16:54:04, -75,        2, (not associated) ,
DA:A1:19:98:6A:6C, 2019-11-25 16:54:03, 2019-11-25 16:54:03, -77,        4, (not associated) ,
E4:B3:18:52:74:4D, 2019-11-25 16:54:03, 2019-11-25 16:54:03, -79,        1, (not associated) ,eduroam
AC:BC:32:8C:ED:19, 2019-11-25 16:52:09, 2019-11-25 16:53:55, -42,       51, (not associated) ,eduroam,MEO-CF08C7,MEO-8E4F45
DA:A1:19:A1:4F:03, 2019-11-25 16:53:53, 2019-11-25 16:53:53, -67,        1, (not associated) ,eduroam
DA:A1:19:5F:A3:8E, 2019-11-25 16:53:55, 2019-11-25 16:53:55, -69,        1, (not associated) ,eduroam
DA:A1:19:13:77:62, 2019-11-25 16:53:51, 2019-11-25 16:53:51, -69,        2, (not associated) ,eduroam
18:5E:0F:94:C7:99, 2019-11-25 16:47:19, 2019-11-25 16:53:56, -72,       19, (not associated) ,eduroam
60:1D:91:A5:3D:B5, 2019-11-25 16:53:54, 2019-11-25 16:53:54, -77,        2, (not associated) ,eduroam
60:1D:91:E4:CB:6B, 2019-11-25 16:53:55, 2019-11-25 16:53:55, -80,        2, (not associated) ,eduroam
94:E9:79:31:5F:47, 2019-11-25 16:48:36, 2019-11-25 16:53:40, -57,        5, (not associated) ,eduroam
A2:DF:0D:86:06:26, 2019-11-25 16:53:39, 2019-11-25 16:53:39, -62,        4, (not associated) ,MEO-50E520
48:A4:72:B7:33:F1, 2019-11-25 16:47:29, 2019-11-25 16:53:43, -63,        5, (not associated) ,eduroam
26:6D:57:3B:1D:88, 2019-11-25 16:50:32, 2019-11-25 16:53:41, -63,        6, (not associated) ,
DC:8B:28:83:D8:9E, 2019-11-25 16:47:00, 2019-11-25 16:53:43, -66,       17, (not associated) ,eduroam
DA:A1:19:10:CD:14, 2019-11-25 16:53:44, 2019-11-25 16:53:44, -67,       16, (not associated) ,Redmi S2
DA:A1:19:F4:F2:39, 2019-11-25 16:53:43, 2019-11-25 16:53:43, -67,        7, (not associated) ,
44:6D:57:3B:1D:88, 2019-11-25 16:48:02, 2019-11-25 16:53:40, -68,       16, (not associated) ,eduroam
D4:11:A3:EA:02:7B, 2019-11-25 16:46:58, 2019-11-25 16:53:43, -70,      135, (not associated) ,eduroam
50:E0:85:6C:EF:8A, 2019-11-25 16:53:42, 2019-11-25 16:53:42, -72,        1, (not associated) ,eduroam
D8:8F:76:69:8F:6D, 2019-11-25 16:53:26, 2019-11-25 16:53:39, -72,        6, (not associated) ,eduroam
DC:FB:48:DF:B4:CA, 2019-11-25 16:49:02, 2019-11-25 16:53:40, -76,        4, (not associated) ,eduroam
C0:8A:CD:09:96:69, 2019-11-25 16:50:47, 2019-11-25 16:53:28, -61,       14, (not associated) ,
DA:A1:19:35:A0:16, 2019-11-25 16:53:29, 2019-11-25 16:53:29, -65,       18, (not associated) ,Redmi S2
D4:6D:6D:39:DB:22, 2019-11-25 16:53:29, 2019-11-25 16:53:29, -68,        6, (not associated) ,eduroam
AC:5F:3E:2C:90:A4, 2019-11-25 16:53:10, 2019-11-25 16:53:31, -74,        3, (not associated) ,eduroam
24:18:1D:5C:FB:5B, 2019-11-25 16:53:27, 2019-11-25 16:53:27, -79,        2, (not associated) ,
